期刊名,Quartile,,,,,,
Journal of Community Practice,Q2,,,,,,
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,Q1,,,,,,
JOURNAL OF EVOLUTION EQUATIONS,Q1,,,,,,
Journal of Social Philosophy,Q3,,,,,,
ORNIS FENNICA,Q2,,,,,,
AUSTRALIAN ARCHAEOLOGY,Q2,,,,,,
Evolution Equations and Control Theory,Q1,,,,,,
Space and Culture,Q2,,,,,,
Results in Mathematics,Q1,,,,,,
VIAL-Vigo International Journal of Applied Linguistics,Q2,,,,,,
Bilingual Research Journal,Q2,,,,,,
English Teaching-Practice and Critique,Q2,,,,,,
FOLIA MORPHOLOGICA,Q3,,,,,,
Irish Educational Studies,Q2,,,,,,
Journal of Education for Students Placed at Risk,Q2,,,,,,
Journal of English as a Lingua Franca,Q2,,,,,,
Asian Journal of Social Science,Q1,,,,,,
Canadian Journal of Applied Linguistics,N/A,,,,,,
EUROPE-ASIA STUDIES,Q1,,,,,,
International Journal of the Sociology of Language,Q2,,,,,,
TalTech Journal of European Studies,Q2,,,,,,
Chinese Journal of International Law,Q2,,,,,,
FEMINIST REVIEW,Q3,,,,,,
STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,Q3,,,,,,
JOURNAL OF WORLD TRADE,Q2,,,,,,
PROBATION JOURNAL,Q3,,,,,,
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,Q3,,,,,,
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,Q1,,,,,,
JOURNAL OF POPULATION RESEARCH,Q3,,,,,,
Translation Studies,Q2,,,,,,
Infants & Young Children,Q3,,,,,,
Peace Economics Peace Science and Public Policy,Q3,,,,,,
Security Journal,Q3,,,,,,
Clothing and Textiles Research Journal,Q2,,,,,,
PSYCHIATRIC REHABILITATION JOURNAL,Q3,,,,,,
STATISTICA SINICA,Q2,,,,,,
Anatomy & Cell Biology,Q3,,,,,,
JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,Q2,,,,,,
ADVANCES IN APPLIED PROBABILITY,Q2,,,,,,
COCHLEAR IMPLANTS INTERNATIONAL,Q3,,,,,,
Investigaciones sobre Lectura,Q2,,,,,,
Journal of Human Behavior in the Social Environment,Q2,,,,,,
SOUTH AFRICAN JOURNAL OF GEOLOGY,Q2,,,,,,
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,Q4,,,,,,
ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY,Q3,,,,,,
Critical and Radical Social Work,Q2,,,,,,
IMA JOURNAL OF APPLIED MATHEMATICS,Q2,,,,,,
INTERNATIONAL SOCIAL WORK,Q2,,,,,,
BUSINESS HISTORY REVIEW,Q1,,,,,,
HEC Forum,Q3,,,,,,
Global Responsibility to Protect,Q2,,,,,,
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,Q2,,,,,,
Archaeologia Baltica,N/A,,,,,,
Computational Methods in Applied Mathematics,Q2,,,,,,
Global Studies of Childhood,Q2,,,,,,
International Journal of Care and Caring,Q2,,,,,,
Journal of Ethnic & Cultural Diversity in Social Work,Q2,,,,,,
Medical Anthropology,Q2,,,,,,
APPLICABLE ANALYSIS,Q2,,,,,,
Journal of Theoretical Social Psychology,Q4,,,,,,
HYSTRIX-Italian Journal of Mammalogy,Q2,,,,,,
Nonprofit Policy Forum,Q3,,,,,,
Social Inclusion,Q2,,,,,,
ANIMAL SCIENCE JOURNAL,Q3,,,,,,
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,Q3,,,,,,
Ethnopolitics,Q3,,,,,,
Interaction Studies,Q2,,,,,,
Journal of Forensic and Legal Medicine,Q3,,,,,,
ZOOSYSTEMA,Q2,,,,,,
Advances in Applied Clifford Algebras,Q2,,,,,,
Bereavement-Journal of Grief and Responses to Death,Q2,,,,,,
European Physical Journal H,Q1,,,,,,
Health Psychology Report,Q4,,,,,,
PEDIATRIC EMERGENCY CARE,Q3,,,,,,
AMERICAN JOURNAL OF PERINATOLOGY,Q3,,,,,,
Nordic Journal of Music Therapy,Q3,,,,,,
AILA Review,Q2,,,,,,
JOURNAL OF BIOSOCIAL SCIENCE,Q3,,,,,,
JOURNAL OF POLITICAL IDEOLOGIES,Q3,,,,,,
Journal of the American Academy of Audiology,Q3,,,,,,
JOURNAL OF WILDLIFE DISEASES,Q3,,,,,,
OPHTHALMIC EPIDEMIOLOGY,Q3,,,,,,
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,Q2,,,,,,
Child Abuse Review,Q2,,,,,,
Journal of International Advanced Otology,Q3,,,,,,
JOURNAL OF MOLLUSCAN STUDIES,Q2,,,,,,
Journal of Neurosurgical Sciences,Q3,,,,,,
JOURNAL OF SOCIAL WORK EDUCATION,Q2,,,,,,
Rural Society,Q3,,,,,,
African Journal of Emergency Medicine,Q3,,,,,,
AIDS EDUCATION AND PREVENTION,Q2,,,,,,
Andean Geology,Q2,,,,,,
AUSTRALIAN MAMMALOGY,Q2,,,,,,
Current Otorhinolaryngology Reports,Q3,,,,,,
DESIGNS CODES AND CRYPTOGRAPHY,Q2,,,,,,
Journal of Radio & Audio Media,Q3,,,,,,
Law Teacher,Q2,,,,,,
SALAMANDRA,Q2,,,,,,
Studies in the Education of Adults-NIACE,Q2,,,,,,
SURGICAL AND RADIOLOGIC ANATOMY,Q3,,,,,,
SYSTEMATIC AND APPLIED ACAROLOGY,Q3,,,,,,
Zebrafish,Q2,,,,,,
Canadian Review of Sociology-Revue Canadienne de Sociologie,Q3,,,,,,
Clinical Medicine Insights-Pediatrics,Q3,,,,,,
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,Q3,,,,,,
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,Q3,,,,,,
SINGAPORE ECONOMIC REVIEW,Q3,,,,,,
Tapuya-Latin American Science Technology and Society,Q1,,,,,,
Australasian Journal of Early Childhood,Q2,,,,,,
EUROPEAN JOURNAL OF ENTOMOLOGY,Q3,,,,,,
Journal of Disability Policy Studies,Q3,,,,,,
REVIEW OF WORLD ECONOMICS,Q3,,,,,,
ULTRASTRUCTURAL PATHOLOGY,Q3,,,,,,
American Journal of Cultural Sociology,Q3,,,,,,
GEOGRAPHICAL REVIEW,Q2,,,,,,
Journal of Vascular Nursing,Q3,,,,,,
New Zealand Geographer,Q2,,,,,,
Central and Eastern European Migration Review,Q3,,,,,,
DIGESTIVE SURGERY,Q3,,,,,,
Educational Action Research,Q2,,,,,,
Fat Studies-An Interdisciplinary Journal of Body Weight and Society,Q2,,,,,,
Innovative Surgical Sciences,Q3,,,,,,
International Journal of Care Coordination,Q3,,,,,,
International Journal of Play,Q2,,,,,,
JOURNAL OF CRUSTACEAN BIOLOGY,Q2,,,,,,
Advances in Public Health,Q4,,,,,,
APPLIED ENTOMOLOGY AND ZOOLOGY,Q3,,,,,,
Central European Public Administration Review,Q3,,,,,,
GFF,Q2,,,,,,
Internet Histories,Q3,,,,,,
Journal of Technical Education and Training,Q2,,,,,,
Mljekarstvo,Q3,,,,,,
Paediatrics and International Child Health,Q3,,,,,,
South African Journal of Physiotherapy,Q3,,,,,,
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,Q3,,,,,,
Urogynecology,Q4,,,,,,
Health Systems,Q4,,,,,,
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,Q3,,,,,,
Journal of Biopharmaceutical Statistics,Q2,,,,,,
New Perspectives,Q3,,,,,,
Nursing-Research and Reviews,Q3,,,,,,
Iranian Journal of Nursing and Midwifery Research,Q3,,,,,,
JOURNAL OF STATISTICAL PHYSICS,Q3,,,,,,
AMERICAN JOURNAL OF DENTISTRY,Q3,,,,,,
Cambridge Journal of Anthropology,Q2,,,,,,
Computational and Mathematical Methods,Q2,,,,,,
Decision-Washington,Q3,,,,,,
DISEASES OF AQUATIC ORGANISMS,Q3,,,,,,
Family Journal,Q3,,,,,,
HEALTH EDUCATION JOURNAL,Q2,,,,,,
JOURNAL OF ORTHOPTERA RESEARCH,Q3,,,,,,
Journal of Transformative Education,Q2,,,,,,
Microbial Physiology,Q4,,,,,,
PEDIATRIC DERMATOLOGY,Q3,,,,,,
REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,Q3,,,,,,
SCOTTISH MEDICAL JOURNAL,Q2,,,,,,
Animal Production Science,Q3,,,,,,
Journal of Dental Anesthesia and Pain Medicine,Q3,,,,,,
JOURNAL OF NEUROLINGUISTICS,Q2,,,,,,
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,Q4,,,,,,
SPORT PSYCHOLOGIST,Q3,,,,,,
TESL Canada Journal,Q2,,,,,,
Constellations-An International Journal of Critical and Democratic Theory,Q3,,,,,,
Educar,Q2,,,,,,
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,Q2,,,,,,
FUSION SCIENCE AND TECHNOLOGY,Q3,,,,,,
GEOFLUIDS,Q2,,,,,,
Hague Journal of Diplomacy,Q3,,,,,,
International Journal of Esthetic Dentistry,Q3,,,,,,
Metron-International Journal of Statistics,Q2,,,,,,
ORTHOPEDICS,Q3,,,,,,
Current Physical Medicine and Rehabilitation Reports,Q3,,,,,,
European Journal of Prosthodontics and Restorative Dentistry,Q3,,,,,,
Korean Journal of Women Health Nursing,Q3,,,,,,
EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,Q4,,,,,,
European Journal of Hybrid Imaging,Q4,,,,,,
Health Promotion Practice,Q4,,,,,,
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,Q4,,,,,,
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,Q4,,,,,,
MAIN GROUP METAL CHEMISTRY,Q4,,,,,,
MARRIAGE AND FAMILY REVIEW,Q3,,,,,,
Research and Reports in Neonatology,Q3,,,,,,
Actas Urologicas Espanolas,Q3,,,,,,
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,Q3,,,,,,
BIOCONTROL SCIENCE AND TECHNOLOGY,Q3,,,,,,
CHILDS NERVOUS SYSTEM,Q3,,,,,,
JOURNAL OF DRUG ISSUES,Q4,,,,,,
NEUROPEDIATRICS,Q3,,,,,,
Asian Myrmecology,Q3,,,,,,
Canadian Journal on Aging-La Revue Canadienne du Vieillissement,Q3,,,,,,
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,Q3,,,,,,
FOREST PRODUCTS JOURNAL,Q2,,,,,,
JAPAN AND THE WORLD ECONOMY,Q3,,,,,,
JOURNAL OF DAIRY RESEARCH,Q3,,,,,,
Management of Biological Invasions,Q3,,,,,,
NEUROGENETICS,Q4,,,,,,
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,Q3,,,,,,
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,Q3,,,,,,
SYDOWIA,Q4,,,,,,
AACE Clinical Case Reports,Q4,,,,,,
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,Q3,,,,,,
APPLIED PSYCHOLOGICAL MEASUREMENT,Q3,,,,,,
Central Bank Review,Q3,,,,,,
International Journal of Applied Mathematics and Computer Science,Q2,,,,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,Q3,,,,,,
Journal of Infusion Nursing,Q3,,,,,,
Journal of Nuclear Engineering,Q3,,,,,,
Nordic Journal of Human Rights,Q3,,,,,,
Quality Management in Health Care,Q4,,,,,,
Residential Treatment for Children & Youth,Q3,,,,,,
SOFTWARE TESTING VERIFICATION & RELIABILITY,Q4,,,,,,
SYSTEMATIC PARASITOLOGY,Q4,,,,,,
Avian Biology Research,Q2,,,,,,
Brazilian Journal of Cardiovascular Surgery,Q3,,,,,,
FLORIDA ENTOMOLOGIST,Q3,,,,,,
Hemodialysis International,Q3,,,,,,
International Journal of Biostatistics,Q2,,,,,,
REPORTS ON MATHEMATICAL PHYSICS,Q3,,,,,,
Revista Brasileira de Enfermagem,Q3,,,,,,
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,Q3,,,,,,
AMERICAN MUSEUM NOVITATES,Q2,,,,,,
ANNALS OF GEOPHYSICS,Q3,,,,,,
Aula Abierta,Q2,,,,,,
Biomedical Human Kinetics,Q4,,,,,,
DISCRETE DYNAMICS IN NATURE AND SOCIETY,Q3,,,,,,
Journal of Behavioral Finance,Q3,,,,,,
Journal of Cognitive Psychology,Q4,,,,,,
NEUROPATHOLOGY,Q3,,,,,,
Oxford Development Studies,Q3,,,,,,
POLITICAL SCIENCE,Q3,,,,,,
SPE DRILLING & COMPLETION,Q3,,,,,,
Twin Research and Human Genetics,Q4,,,,,,
BIOELECTROMAGNETICS,Q3,,,,,,
BULLETIN OF MARINE SCIENCE,Q3,,,,,,
HELMINTHOLOGIA,Q2,,,,,,
International Journal of Social Psychology,Q4,,,,,,
JOURNAL OF AMBULATORY CARE MANAGEMENT,Q4,,,,,,
JOURNAL OF ECONOMIC THEORY,Q3,,,,,,
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,Q2,,,,,,
Journal of Manufacturing Processes,Q1,,,,,,
Journal of Remote Sensing,Q1,,,,,,
Space-Science & Technology,Q1,,,,,,
Journal of Traffic and Transportation Engineering-English Edition,Q1,,,,,,
Journal of Science-Advanced Materials and Devices,Q1,,,,,,
NEW CARBON MATERIALS,Q1,,,,,,
ACTA MATHEMATICA,Q1,,,,,,
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Q1,,,,,,
American Economic Review-Insights,Q1,,,,,,
JOURNAL OF BUSINESS ETHICS,Q1,,,,,,
URBAN FORESTRY & URBAN GREENING,Q1,,,,,,
ANALYTICAL CHEMISTRY,Q1,,,,,,
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,Q1,,,,,,
THYROID,Q1,,,,,,
MAYO CLINIC PROCEEDINGS,Q1,,,,,,
IEEE Transactions on Green Communications and Networking,Q1,,,,,,
Circulation-Cardiovascular Quality and Outcomes,Q1,,,,,,
EUROPEAN NEUROPSYCHOPHARMACOLOGY,Q1,,,,,,
EUROPEAN PSYCHIATRY,Q1,,,,,,
International Journal of Hydromechatronics,Q1,,,,,,
ACS Photonics,Q1,,,,,,
Agronomy for Sustainable Development,Q1,,,,,,
Materials Today Chemistry,Q1,,,,,,
International Review of Sport and Exercise Psychology,Q1,,,,,,
ALLERGOLOGY INTERNATIONAL,Q1,,,,,,
United European Gastroenterology Journal,Q1,,,,,,
Neural Regeneration Research,Q1,,,,,,
Journal of Water Process Engineering,Q1,,,,,,
FRONTIERS IN NEUROENDOCRINOLOGY,Q1,,,,,,
Current Psychiatry Reports,Q1,,,,,,
ACS ES&T Engineering,Q2,,,,,,
Computer Assisted Language Learning,Q1,,,,,,
CITIES,Q1,,,,,,
Journal of Tourism Futures,Q1,,,,,,
Review of Environmental Economics and Policy,Q1,,,,,,
EPILEPSIA,Q1,,,,,,
Japanese Dental Science Review,Q1,,,,,,
AGU Advances,Q1,,,,,,
Current Opinion in Environmental Science & Health,Q1,,,,,,
European Heart Journal-Cardiovascular Imaging,Q1,,,,,,
PRECISION AGRICULTURE,Q1,,,,,,
ROCK MECHANICS AND ROCK ENGINEERING,Q1,,,,,,
EMERGING INFECTIOUS DISEASES,Q1,,,,,,
Molecular Metabolism,Q1,,,,,,
Geoderma,Q1,,,,,,
THIN-WALLED STRUCTURES,Q1,,,,,,
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,Q1,,,,,,
Journal of Allergy and Clinical Immunology-In Practice,Q1,,,,,,
LWT-FOOD SCIENCE AND TECHNOLOGY,Q1,,,,,,
APPLIED SOFT COMPUTING,Q1,,,,,,
Ecosystem Services,Q1,,,,,,
ACM Transactions on Computer-Human Interaction,Q1,,,,,,
Case Studies in Construction Materials,Q1,,,,,,
Journal of Materials Research and Technology-JMR&T,Q1,,,,,,
Science Signaling,Q1,,,,,,
Antioxidants,Q1,,,,,,
MASS SPECTROMETRY REVIEWS,Q1,,,,,,
Nanophotonics,Q1,,,,,,
ACM Transactions on Intelligent Systems and Technology,Q1,,,,,,
Biocybernetics and Biomedical Engineering,Q1,,,,,,
REVIEWS IN MEDICAL VIROLOGY,Q1,,,,,,
TRENDS IN PARASITOLOGY,Q1,,,,,,
ChemSusChem,Q1,,,,,,
Inflammation and Regeneration,Q1,,,,,,
Solar Energy,Q2,,,,,,
International Journal of Smart and Nano Materials,Q1,,,,,,
Nanoscale Horizons,Q1,,,,,,
Reviews of Environmental Contamination and Toxicology,Q1,,,,,,
REVIEWS IN CHEMICAL ENGINEERING,Q1,,,,,,
SOCIOLOGICAL METHODS & RESEARCH,Q1,,,,,,
Journal of Animal Science and Biotechnology,Q1,,,,,,
Agricultural Water Management,Q1,,,,,,
ISA TRANSACTIONS,Q1,,,,,,
BMJ Quality & Safety,Q1,,,,,,
ADMINISTRATIVE SCIENCE QUARTERLY,Q1,,,,,,
IEEE TRANSACTIONS ON POWER ELECTRONICS,Q1,,,,,,
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,Q1,,,,,,
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,Q1,,,,,,
npj Vaccines,Q1,,,,,,
Advances in Sample Preparation,Q1,,,,,,
npj Regenerative Medicine,Q1,,,,,,
Astrodynamics,Q1,,,,,,
Vehicular Communications,Q1,,,,,,
Computers & Industrial Engineering,Q1,,,,,,
International Journal of Nanomedicine,Q1,,,,,,
Journal of Biological Engineering,Q1,,,,,,
IEEE Transactions on Emerging Topics in Computational Intelligence,Q1,,,,,,
NEUROCOMPUTING,Q1,,,,,,
Carbohydrate Polymer Technologies and Applications,Q1,,,,,,
JOURNAL OF CATALYSIS,Q1,,,,,,
ACS Materials Au,Q2,,,,,,
Cleaner Engineering and Technology,Q1,,,,,,
MOLECULES AND CELLS,Q1,,,,,,
Natural Gas Industry B,Q2,,,,,,
ANNALS OF SURGERY,Q1,,,,,,
PEDIATRICS,Q1,,,,,,
TELECOMMUNICATIONS POLICY,Q1,,,,,,
JOURNAL OF EDUCATIONAL PSYCHOLOGY,Q1,,,,,,
FIELD CROPS RESEARCH,Q1,,,,,,
REVIEW OF ECONOMIC STUDIES,Q1,,,,,,
Inorganic Chemistry Frontiers,Q1,,,,,,
International Journal of Pharmaceutics-X,Q1,,,,,,
Pulmonology,Q1,,,,,,
Plant Phenomics,Q1,,,,,,
Journal of Big Data,Q1,,,,,,
European Research on Management and Business Economics,Q1,,,,,,
Journal of Enterprise Information Management,Q1,,,,,,
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Q1,,,,,,
PERSONNEL PSYCHOLOGY,Q1,,,,,,
International Journal of Logistics Management,Q1,,,,,,
ECONOMIC POLICY,Q1,,,,,,
Information Technology for Development,Q1,,,,,,
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,Q1,,,,,,
JOURNAL OF MANAGEMENT STUDIES,Q1,,,,,,
ENGINEERING STRUCTURES,Q1,,,,,,
Organization Theory,Q1,,,,,,
Case Studies in Thermal Engineering,Q1,,,,,,
JOURNAL OF CONSUMER RESEARCH,Q1,,,,,,
Oncogenesis,Q1,,,,,,
Physics of the Dark Universe,Q1,,,,,,
JOURNAL OF TRAVEL MEDICINE,Q1,,,,,,
IEEE Transactions on Automation Science and Engineering,Q1,,,,,,
MOLECULAR MEDICINE,Q1,,,,,,
Resources Conservation & Recycling Advances,Q1,,,,,,
International Journal of Neural Systems,Q1,,,,,,
JOURNAL OF CELL BIOLOGY,Q1,,,,,,
Frontiers of Environmental Science & Engineering,Q1,,,,,,
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,Q1,,,,,,
GLOBAL CHALLENGES,Q1,,,,,,
Materials Chemistry Frontiers,Q1,,,,,,
Current Diabetes Reports,Q1,,,,,,
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,Q1,,,,,,
Journal of Nursing Regulation,Q1,,,,,,
CLINICAL CHEMISTRY,Q1,,,,,,
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,Q1,,,,,,
JOURNAL OF PINEAL RESEARCH,Q1,,,,,,
JOURNAL OF POLITICAL ECONOMY,Q1,,,,,,
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,Q1,,,,,,
INFORMATION SYSTEMS JOURNAL,Q1,,,,,,
Journal of Transport Geography,Q1,,,,,,
Korean Journal of Anesthesiology,Q1,,,,,,
LONG RANGE PLANNING,Q1,,,,,,
DENTAL MATERIALS,Q1,,,,,,
COMPUTERS IN BIOLOGY AND MEDICINE,Q1,,,,,,
Emergencias,Q1,,,,,,
IEEE NETWORK,Q1,,,,,,
Plant Diversity,Q1,,,,,,
Diabetes Technology & Therapeutics,Q1,,,,,,
JOURNAL OF ACCOUNTING RESEARCH,Q1,,,,,,
PLANT CELL AND ENVIRONMENT,Q1,,,,,,
ECOLOGICAL ECONOMICS,Q1,,,,,,
Communications Medicine,Q1,,,,,,
RESPIROLOGY,Q1,,,,,,
Journal of Hydrology,Q1,,,,,,
NEURAL NETWORKS,Q1,,,,,,
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,Q1,,,,,,
Environment & Health,Q1,,,,,,
Propulsion and Power Research,Q1,,,,,,
OncoImmunology,Q1,,,,,,
Fundamental Research,Q1,,,,,,
PHYTOTHERAPY RESEARCH,Q1,,,,,,
Electronic Commerce Research and Applications,Q1,,,,,,
Journal of Environmental Sciences,Q1,,,,,,
FOOD CONTROL,Q1,,,,,,
STRUCTURAL SAFETY,Q1,,,,,,
EUROPEAN POLYMER JOURNAL,Q1,,,,,,
Current Opinion in Environmental Sustainability,Q1,,,,,,
Radiology-Imaging Cancer,Q1,,,,,,
SOLAR ENERGY MATERIALS AND SOLAR CELLS,Q1,,,,,,
Journal of Alloys and Compounds,Q1,,,,,,
Strategic Entrepreneurship Journal,Q1,,,,,,
Surfaces and Interfaces,Q1,,,,,,
Green Synthesis and Catalysis,Q1,,,,,,
IEEE CONTROL SYSTEMS MAGAZINE,Q1,,,,,,
Chinese Journal of Cancer Research,Q1,,,,,,
Journal of the Taiwan Institute of Chemical Engineers,Q1,,,,,,
Journal of Physics-Energy,Q2,,,,,,
Epilepsy Currents,Q1,,,,,,
ACS Nanoscience Au,Q2,,,,,,
Annual Review of Criminology,Q1,,,,,,
AMERICAN SOCIOLOGICAL REVIEW,Q1,,,,,,
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,Q1,,,,,,
CLADISTICS,Q1,,,,,,
RELC Journal,Q1,,,,,,
COMMUNICATION THEORY,Q1,,,,,,
Horticultural Plant Journal,Q1,,,,,,
ACCIDENT ANALYSIS AND PREVENTION,Q1,,,,,,
American Economic Journal-Applied Economics,Q1,,,,,,
GENETICS IN MEDICINE,Q1,,,,,,
Big Data Mining and Analytics,Q1,,,,,,
Lancet Regional Health - Southeast Asia,Q1,,,,,,
Environmental DNA,Q1,,,,,,
Equilibrium-Quarterly Journal of Economics and Economic Policy,Q1,,,,,,
Translational Psychiatry,Q1,,,,,,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,Q1,,,,,,
Methods in Ecology and Evolution,Q1,,,,,,
BRAIN PATHOLOGY,Q1,,,,,,
Journal of Behavioral Addictions,Q1,,,,,,
IMA Fungus,Q1,,,,,,
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Q1,,,,,,
Human Resource Management Journal,Q1,,,,,,
Fluids and Barriers of the CNS,Q1,,,,,,
INDUSTRIAL CROPS AND PRODUCTS,Q1,,,,,,
GEOTEXTILES AND GEOMEMBRANES,Q1,,,,,,
COMPUTERS AND GEOTECHNICS,Q1,,,,,,
Journal of the European Ceramic Society,Q1,,,,,,
Green Analytical Chemistry,Q1,,,,,,
JMIR mHealth and uHealth,Q1,,,,,,
Journal of Agriculture and Food Research,Q1,,,,,,
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Q1,,,,,,
Pneumonia,Q1,,,,,,
Phenomics,Q1,,,,,,
Combustion and Flame,Q1,,,,,,
npj Quantum Materials,Q1,,,,,,
PSYCHIATRY AND CLINICAL NEUROSCIENCES,Q1,,,,,,
Artificial Intelligence in Medicine,Q1,,,,,,
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,Q1,,,,,,
EMBO REPORTS,Q1,,,,,,
Applied Food Research,Q1,,,,,,
Cell and Bioscience,Q1,,,,,,
Food Security,Q1,,,,,,
Cell Surface,Q1,,,,,,
Communications Chemistry,Q1,,,,,,
Superconductivity,Q1,,,,,,
CELLULAR AND MOLECULAR LIFE SCIENCES,Q1,,,,,,
FlatChem,Q2,,,,,,
Advanced Materials Technologies,Q2,,,,,,
JOURNAL OF THE ENERGY INSTITUTE,Q2,,,,,,
Precision Chemistry,Q1,,,,,,
ChemBioEng Reviews,Q1,,,,,,
Chemical Physics Reviews,Q1,,,,,,
Frontiers in Energy,Q2,,,,,,
SIAM REVIEW,Q1,,,,,,
INTERNATIONAL SECURITY,Q1,,,,,,
Policy and Society,Q1,,,,,,
HUMAN REPRODUCTION,Q1,,,,,,
PROGRESS IN HUMAN GEOGRAPHY,Q1,,,,,,
FISH AND FISHERIES,Q1,,,,,,
JOURNAL OF APPLIED PSYCHOLOGY,Q1,,,,,,
AGRICULTURAL SYSTEMS,Q1,,,,,,
Journal of Family Business Strategy,Q1,,,,,,
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,Q1,,,,,,
JCI Insight,Q1,,,,,,
Journal of International Financial Markets Institutions & Money,Q1,,,,,,
BMJ Global Health,Q1,,,,,,
Future Generation Computer Systems-The International Journal of eScience,Q1,,,,,,
Journal of King Saud University-Computer and Information Sciences,Q1,,,,,,
European Heart Journal-Cardiovascular Pharmacotherapy,Q1,,,,,,
Epidemiology and Psychiatric Sciences,Q1,,,,,,
AMERICAN JOURNAL OF ROENTGENOLOGY,Q1,,,,,,
Molecular Therapy Nucleic Acids,Q1,,,,,,
ISME Communications,Q1,,,,,,
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,Q1,,,,,,
TALANTA,Q1,,,,,,
International Business Review,Q1,,,,,,
Journal of Computational Design and Engineering,Q1,,,,,,
Hepatology International,Q1,,,,,,
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Q1,,,,,,
Petroleum Science,Q1,,,,,,
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,Q1,,,,,,
Journal of Modern Power Systems and Clean Energy,Q1,,,,,,
IEEE Open Journal of the Communications Society,Q1,,,,,,
JOURNAL OF CONSUMER PSYCHOLOGY,Q1,,,,,,
Soft Robotics,Q1,,,,,,
BioData Mining,Q1,,,,,,
Journal of Urban Mobility,Q1,,,,,,
MEAT SCIENCE,Q1,,,,,,
Research Synthesis Methods,Q1,,,,,,
Annual Review of Cancer Biology,Q1,,,,,,
European Journal of Internal Medicine,Q1,,,,,,
PROGRESS IN NEUROBIOLOGY,Q1,,,,,,
SURFACE & COATINGS TECHNOLOGY,Q1,,,,,,
WEAR,Q1,,,,,,
Environmental Innovation and Societal Transitions,Q1,,,,,,
Rice Science,Q1,,,,,,
IEEE INTELLIGENT SYSTEMS,Q1,,,,,,
Neuromorphic Computing and Engineering,Q1,,,,,,
Advanced Intelligent Systems,Q1,,,,,,
ANTIOXIDANTS & REDOX SIGNALING,Q1,,,,,,
BioChip Journal,Q1,,,,,,
CURRENT OPINION IN CHEMICAL BIOLOGY,Q1,,,,,,
