期刊名称,2025分区,Top
DEVELOPMENTAL NEUROPSYCHOLOGY,4,\
Developmental Neurorehabilitation,4,\
DEVELOPMENTAL NEUROSCIENCE,4,\
DEVELOPMENTAL PSYCHOBIOLOGY,4,\
DEVELOPMENTAL PSYCHOLOGY,2,Yes
DEVELOPMENTAL REVIEW,1,Yes
DEVELOPMENTAL SCIENCE,1,Yes
Developments in the Built Environment,2,\
Developpement Durable & Territoires,4,\
Deviance et Societe,4,\
DEVIANT BEHAVIOR,3,\
Devices and Methods of Measurements,4,\
Diabetes & Metabolic Syndrome-Clinical Research & Reviews,3,\
Diabetes & Metabolism Journal,2,\
DIABETES & METABOLISM,2,\
Diabetes & Vascular Disease Research,4,\
DIABETES CARE,1,Yes
Diabetes Epidemiology and Management,4,\
Diabetes Mellitus,4,\
Diabetes Metabolic Syndrome and Obesity,3,\
DIABETES OBESITY & METABOLISM,2,\
DIABETES RESEARCH AND CLINICAL PRACTICE,3,\
Diabetes Stoffwechsel und Herz,4,\
Diabetes Technology & Therapeutics,2,\
Diabetes Therapy,3,\
DIABETES-METABOLISM RESEARCH AND REVIEWS,3,\
DIABETES,2,Yes
DIABETIC MEDICINE,3,\
DIABETOLOGIA,1,Yes
Diabetologie und Stoffwechsel,4,\
Diabetologie,4,\
Diabetology & Metabolic Syndrome,3,\
Diabetology International,4,\
Diabetology,4,\
Diachronica,2,\
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,4,\
Diagnosis,4,\
Diagnostic and Interventional Imaging,2,\
Diagnostic and Interventional Radiology,4,\
DIAGNOSTIC CYTOPATHOLOGY,4,\
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,4,\
Diagnostic Pathology,3,\
DIAGNOSTICA,4,\
Diagnostics,3,\
DIALECTICAL ANTHROPOLOGY,4,\
Dialectologia et Geolinguistica,4,\
Dialectologia,4,\
Dialog so Vremenem-Dialogue with Time,4,\
Dialog-A Journal of Theology,4,\
Dialogia,4,\
Dialogic Pedagogy,4,\
Dialogica,4,\
Dialogo das Letras,4,\
Dialogo,4,\
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,4,\
Dialogues in Clinical Neuroscience,2,\
Dialogues in Human Geography,1,Yes
Dialogues in Philosophy Mental and Neuro Sciences,4,\
Diametros,4,\
DIAMOND AND RELATED MATERIALS,3,\
Diaspora Studies,4,\
Diasporas-Histoire et Societes,4,\
DIATOM RESEARCH,3,\
Dicenda-Cuadernos de Filologia Hispanica,4,\
DICKENS QUARTERLY,3,\
Dickens Studies Annual,4,\
DICKENSIAN,4,\
Didactica de las Ciencias Experimentales y Sociales,4,\
Didactica-Lengua y Literatura,4,\
Differences-A Journal of Feminist Cultural Studies,4,\
Differential and Integral Equations,3,\
Differential Equations & Applications,4,\
Differential Equations and Dynamical Systems,4,\
DIFFERENTIAL EQUATIONS,4,\
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,4,\
DIFFERENTIATION,3,\
Digest Journal of Nanomaterials and Biostructures,4,\
Digest of Middle East Studies,4,\
DIGESTION,4,\
DIGESTIVE AND LIVER DISEASE,2,\
DIGESTIVE DISEASES AND SCIENCES,4,\
DIGESTIVE DISEASES,4,\
Digestive Endoscopy,2,\
DIGESTIVE SURGERY,4,\
Digital Chemical Engineering,4,\
Digital Communications and Networks,2,\
DIGITAL CREATIVITY,3,\
Digital Discovery,2,\
Digital Education Review,4,\
Digital Health,3,\
Digital Humanities Quarterly,4,\
Digital Journalism,1,Yes
Digital Library Perspectives,4,\
Digital Policy Regulation and Governance,4,\
Digital Scholarship in the Humanities,3,\
DIGITAL SIGNAL PROCESSING,3,\
digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts,4,\
Digithum,4,\
Dimension Empresarial,4,\
Dimensions of Critical Care Nursing,4,\
Dinbilimleri Akademik Arastirma Dergisi-Journal of Academic Research in Religious Sciences,4,\
Diplomacy & Statecraft,4,\
DIPLOMATIC HISTORY,3,\
Diplomatica,4,\
Dirasat Hispanicas-Revista Tunecina de Estudios Hispanicos,4,\
Direccion y Organizacion,4,\
Direito e Praxis,4,\
Diritti Umani e Diritto Internazionale,4,\
DISABILITY & SOCIETY,3,\
Disability and Health Journal,2,\
Disability and Rehabilitation-Assistive Technology,4,\
DISABILITY AND REHABILITATION,4,\
Disaster Medicine and Public Health Preparedness,4,\
Disaster Prevention and Management,4,\
DISASTERS,3,\
Discours-Revue de Linguistique Psycholinguistique et Informatique,3,\
Discourse & Communication,2,Yes
DISCOURSE & SOCIETY,1,Yes
Discourse Context & Media,1,Yes
DISCOURSE PROCESSES,2,\
DISCOURSE STUDIES,2,Yes
Discourse-Journal for Theoretical Studies in Media and Culture,4,\
Discourse-Studies in the Cultural Politics of Education,3,\
Discover Nano,3,\
Discover Oncology,4,\
Discover Sustainability,4,\
Discovery Medicine,4,\
DISCRETE & COMPUTATIONAL GEOMETRY,4,\
Discrete Analysis,4,\
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,4,\
Discrete and Continuous Dynamical Systems-Series S,4,\
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,3,\
DISCRETE APPLIED MATHEMATICS,3,\
DISCRETE DYNAMICS IN NATURE AND SOCIETY,4,\
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,4,\
Discrete Mathematics Algorithms and Applications,4,\
Discrete Mathematics and Applications,4,\
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,4,\
Discrete Mathematics Letters,4,\
DISCRETE MATHEMATICS,3,\
Discrete Optimization,4,\
Discussiones Mathematicae Graph Theory,4,\
Disease Models & Mechanisms,3,\
DISEASES OF AQUATIC ORGANISMS,4,\
DISEASES OF THE COLON & RECTUM,2,\
DISEASES OF THE ESOPHAGUS,4,\
Diseases,4,\
Disegnare Idee Immagini-Ideas Images,4,\
Disegnarecon,4,\
disP,4,\
Disparidades-Revista de Antropologia,4,\
DISPLAYS,2,\
Disputatio-International Journal of Philosophy,3,\
Disputatio-Philosophical Research Bulletin,4,\
DISSENT,4,\
Dissertationes Mathematicae,3,\
DISSOLUTION TECHNOLOGIES,4,\
Distance Education,2,\
Distinktion-Journal of Social Theory,3,\
DISTRIBUTED AND PARALLEL DATABASES,4,\
DISTRIBUTED COMPUTING,4,\
Diversitas-Perspectivas en Psicologia,4,\
DIVERSITY AND DISTRIBUTIONS,1,Yes
Diversity-Basel,3,\
Diving and Hyperbaric Medicine,4,\
Dix-Neuf,3,\
DIX-SEPTIEME SIECLE,4,\
Dixi,4,\
Dixit,4,\
DM DISEASE-A-MONTH,3,\
DNA AND CELL BIOLOGY,4,\
DNA REPAIR,3,\
DNA RESEARCH,2,\
dObras,4,\
Doctor Virtualis-Rivista di Storia della Filosofia Medievale,4,\
Documenta et Instrumenta,3,\
Documenta Mathematica,2,\
DOCUMENTA OPHTHALMOLOGICA,4,\
Documentacion de las Ciencias de la Informacion,4,\
Documentation et Bibliotheques,4,\
Documenti e Studi sulla Tradizione Filosofica Medievale,4,\
Documenti Geografici,4,\
Documents d Analisi Geografica,4,\
Doklady Biochemistry and Biophysics,4,\
DOKLADY CHEMISTRY,4,\
DOKLADY EARTH SCIENCES,4,\
DOKLADY MATHEMATICS,4,\
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,4,\
DOKLADY PHYSICAL CHEMISTRY,4,\
DOKLADY PHYSICS,4,\
Dolomites Research Notes on Approximation,4,\
DOMESTIC ANIMAL ENDOCRINOLOGY,2,\
Dose-Response,4,\
DOWN BEAT,4,\
Downside Review,4,\
Doxa Comunicacion,4,\
Doxa-Cuadernos de Filosofia y Derecho,4,\
Drama Therapy Review,3,\
DREAMING,4,\
Dress-The Journal of the Costume Society of America,3,\
Drevnyaya Rus-Voprosy Medievistiki,3,\
Drewno,4,\
Droit et Cultures,4,\
Drone Systems and Applications,4,\
Drones,3,\
Drug and Alcohol Dependence Reports,4,\
DRUG AND ALCOHOL DEPENDENCE,2,\
DRUG AND ALCOHOL REVIEW,3,\
DRUG AND CHEMICAL TOXICOLOGY,4,\
Drug Delivery and Translational Research,3,\
DRUG DELIVERY,2,\
Drug Design Development and Therapy,2,\
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,4,\
DRUG DEVELOPMENT RESEARCH,3,\
Drug Discoveries and Therapeutics,4,\
DRUG DISCOVERY TODAY,2,\
Drug Healthcare and Patient Safety,3,\
DRUG METABOLISM AND DISPOSITION,2,\
Drug Metabolism and Pharmacokinetics,4,\
DRUG METABOLISM REVIEWS,3,\
Drug Research,4,\
DRUG RESISTANCE UPDATES,1,Yes
DRUG SAFETY,2,\
Drug Target Insights,4,\
Drug Testing and Analysis,3,\
DRUGS & AGING,3,\
DRUGS & THERAPY PERSPECTIVES,4,\
Drugs Habits and Social Policy,4,\
DRUGS IN R&D,4,\
DRUGS-EDUCATION PREVENTION AND POLICY,4,\
Drugs-Real World Outcomes,4,\
DRUGS,1,Yes
DRUSTVENA ISTRAZIVANJA,4,\
Drvna Industrija,4,\
DRYING TECHNOLOGY,3,\
Du Bois Review-Social Science Research on Race,3,\
Duazary,4,\
Dubai Medical Journal,4,\
DUKE LAW JOURNAL,2,\
DUKE MATHEMATICAL JOURNAL,1,Yes
Dusunen Adam-Journal of Psychiatry and Neurological Sciences,4,\
Dutch Crossing-Journal of Low Countries Studies,2,\
Dutch Journal of Applied Linguistics,4,\
DYES AND PIGMENTS,2,\
Dyna,4,\
Dynamic Games and Applications,4,\
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,4,\
DYNAMICS OF ATMOSPHERES AND OCEANS,4,\
Dynamics of Partial Differential Equations,3,\
Dynamis,4,\
DYSLEXIA,3,\
DYSPHAGIA,3,\
E & M Ekonomie a Management,4,\
E&G Quaternary Science Journal,3,\
E-Balonmano com,4,\
E-Ciencias de la Informacion,4,\
e-Informatica Software Engineering Journal,4,\
E-Journal of International and Comparative Labour Studies,4,\
e-Journal of Surface Science and Nanotechnology,4,\
E-Latina-Revista Electronica de Estudios Latinoamericanos,4,\
E-Learning and Digital Media,3,\
e-Legal History Review,4,\
E-Mentor,4,\
E-POLYMERS,3,\
e-rph-Revista electronica de Patrimonio Historico,4,\
E-Scrita-Revista do Curso de Letras da UNIABEU,4,\
E-Spania-Revue Electronique d etudes Hispaniques Medievales,4,\
EAI Endorsed Transactions on Scalable Information Systems,4,\
EAR AND HEARING,2,\
EARI-Educacion Artistica-Revista de Investigacion,4,\
EARLY AMERICAN LITERATURE,3,\
Early American Studies-An Interdisciplinary Journal,4,\
Early Child Development and Care,4,\
Early Childhood Education Journal,3,\
EARLY CHILDHOOD RESEARCH QUARTERLY,1,Yes
Early China,4,\
Early Christianity,3,\
Early Education and Development,3,\
EARLY HUMAN DEVELOPMENT,3,\
Early Intervention in Psychiatry,3,\
Early Medieval China,3,\
Early Medieval Europe,1,Yes
Early Modern French Studies,3,\
Early Modern Women-An Interdisciplinary Journal,4,\
EARLY MUSIC HISTORY,2,\
EARLY MUSIC,1,Yes
Early Popular Visual Culture,3,\
Early Science and Medicine,2,\
Early Theatre,3,\
Early Years,4,\
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,4,\
Earth and Planetary Physics,3,\
EARTH AND PLANETARY SCIENCE LETTERS,1,Yes
Earth and Space Science,3,\
Earth Interactions,4,\
EARTH MOON AND PLANETS,4,\
EARTH PLANETS AND SPACE,3,\
Earth Science Informatics,3,\
EARTH SCIENCES HISTORY,4,\
Earth Sciences Research Journal,4,\
Earth Surface Dynamics,3,\
EARTH SURFACE PROCESSES AND LANDFORMS,3,\
Earth System Dynamics,2,\
Earth System Governance,1,Yes
Earth System Science Data,1,Yes
Earth Systems and Environment,3,\
EARTH-SCIENCE REVIEWS,1,Yes
EARTH,4,\
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,2,\
Earthquake Engineering and Engineering Vibration,2,\
Earthquake Science,3,\
EARTHQUAKE SPECTRA,3,\
Earthquakes and Structures,4,\
Earths Future,1,Yes
East Asia,3,\
East Asian Economic Review,4,\
East Asian Journal on Applied Mathematics,4,\
East Asian Policy,4,\
East Asian Pragmatics,4,\
East Asian Publishing and Society,3,\
East Asian Science Technology and Society-An International Journal,4,\
East Central Europe,4,\
East European Jewish Affairs,4,\
East European Journal of Physics,4,\
EAST EUROPEAN POLITICS AND SOCIETIES,4,\
East European Politics,2,\
Eastern African Literary and Cultural Studies,3,\
EASTERN BUDDHIST,4,\
Eastern Economic Journal,4,\
Eastern European Countryside,4,\
EASTERN EUROPEAN ECONOMICS,4,\
Eastern Journal of European Studies,4,\
EASTERN MEDITERRANEAN HEALTH JOURNAL,4,\
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,3,\
Eating Behaviors,4,\
Eating Disorders,3,\
EBioMedicine,1,Yes
EC Tax Review,4,\
eCancerMedicalScience,4,\
Ecclesiastical Law Journal,4,\
Ecclesiology,2,\
Eccos-Revista Cientifica,4,\
Echo Research and Practice,3,\
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,4,\
EClinicalMedicine,1,Yes
ECNU Review of Education,4,\
Eco mont-Journal on Protected Mountain Areas Research,4,\
ECOGRAPHY,1,Yes
EcoHealth,3,\
ECOHYDROLOGY & HYDROBIOLOGY,4,\
Ecohydrology,3,\
Ecologia Aplicada,4,\
ECOLOGICAL APPLICATIONS,2,Yes
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,4,\
Ecological Complexity,3,\
ECOLOGICAL ECONOMICS,2,\
ECOLOGICAL ENGINEERING,2,\
ECOLOGICAL ENTOMOLOGY,2,\
Ecological Frontiers,3,\
Ecological Indicators,1,Yes
Ecological Informatics,2,\
ECOLOGICAL MANAGEMENT & RESTORATION,4,\
ECOLOGICAL MODELLING,3,\
ECOLOGICAL MONOGRAPHS,2,\
Ecological Processes,2,\
ECOLOGICAL PSYCHOLOGY,3,\
Ecological Questions,4,\
ECOLOGICAL RESEARCH,4,\
Ecological Restoration,4,\
Ecological Solutions and Evidence,3,\
Ecologies,4,\
Ecology and Evolution,2,\
ECOLOGY AND SOCIETY,3,\
ECOLOGY LAW QUARTERLY,4,\
ECOLOGY LETTERS,1,Yes
ECOLOGY OF FOOD AND NUTRITION,4,\
ECOLOGY OF FRESHWATER FISH,3,\
ECOLOGY,2,Yes
EcoMat,2,\
Econ Journal Watch,4,\
Econometric Reviews,4,\
ECONOMETRIC THEORY,4,\
ECONOMETRICA,1,Yes
Econometrics and Statistics,4,\
Econometrics Journal,3,\
Econometrics,4,\
Economia Agraria y Recursos Naturales,4,\
Economia Politica,3,\
Economia Sociedad y Territorio,4,\
Economia-Journal of the Latin American and Caribbean Economic Association,4,\
ECONOMIC AFFAIRS,4,\
Economic Analysis and Policy,2,Yes
Economic and Environmental Geology,4,\
ECONOMIC AND INDUSTRIAL DEMOCRACY,4,\
Economic and Labour Relations Review,3,\
Economic and Political Studies-EPS,3,\
Economic and Social Changes-Facts Trends Forecast,4,\
ECONOMIC AND SOCIAL REVIEW,4,\
Economic Annals-XXI,4,\
Economic Anthropology,3,\
ECONOMIC BOTANY,3,\
Economic Change and Restructuring,4,\
Economic Computation and Economic Cybernetics Studies and Research,4,\
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,3,\
ECONOMIC DEVELOPMENT QUARTERLY,4,\
ECONOMIC GEOGRAPHY,1,Yes
ECONOMIC GEOLOGY,1,Yes
Economic History of Developing Regions,3,\
ECONOMIC HISTORY REVIEW,1,Yes
ECONOMIC INQUIRY,3,\
Economic Issues,4,\
Economic Journal of Emerging Markets,4,\
ECONOMIC JOURNAL,2,Yes
ECONOMIC MODELLING,2,\
Economic Notes,4,\
Economic Papers,4,\
ECONOMIC POLICY,2,\
ECONOMIC RECORD,4,\
Economic Systems Research,4,\
Economic Systems,3,\
Economic Theory Bulletin,4,\
ECONOMIC THEORY,3,\
ECONOMICA,3,\
Economics & Human Biology,3,\
Economics & Politics,3,\
Economics & Sociology,3,\
Economics and Business Letters,4,\
Economics and Business Review,4,\
Economics and Finance Letters,4,\
ECONOMICS AND PHILOSOPHY,2,\
Economics Bulletin,4,\
Economics Ecology Socium,4,\
ECONOMICS LETTERS,4,\
ECONOMICS OF EDUCATION REVIEW,3,\
Economics of Energy & Environmental Policy,4,\
Economics of Governance,4,\
Economics of Innovation and New Technology,3,\
Economics of Peace and Security Journal,3,\
Economics of Transition and Institutional Change,4,\
Economics of Transportation,3,\
Economics-The Open Access Open-Assessment E-Journal,4,\
Economies,3,\
ECONOMIST-NETHERLANDS,4,\
Economists Voice,4,\
ECONOMY AND SOCIETY,2,\
Economy of Region,4,\
Ecopsychology,3,\
ECOS-Estudos Contemporaneos da Subjetividade,4,\
ECOSCIENCE,4,\
Ecosistemas y Recursos Agropecuarios,4,\
Ecosistemas,4,\
Ecosphere,3,\
Ecosystem Health and Sustainability,2,\
Ecosystem Services,2,\
Ecosystems and People,2,\
ECOSYSTEMS,3,\
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2,\
ECOTOXICOLOGY,4,\
ECS Journal of Solid State Science and Technology,4,\
Ecumenica-Performance and Religion,4,\
ECUMENICAL REVIEW,4,\
Edad Media-Revista de Historia,4,\
Edgar Allan Poe Review,3,\
Edinburgh Law Review,4,\
Edith Wharton Review,4,\
Edma 0-6-Educacion Matematica en la Infancia,4,\
EDMETIC,4,\
Educacao & Formacao,4,\
Educacao por Escrito,4,\
Educacao,4,\
Educacion Fisica y Ciencia,4,\
Educacion Fisica y Deporte,4,\
Educacion XX1,2,\
Educar em Revista,4,\
Educar,4,\
Educatio Siglo XXI,4,\
Education 3-13,4,\
Education and Information Technologies,2,\
Education and Training in Autism and Developmental Disabilities,4,\
Education and Training,3,\
Education and Treatment of Children,4,\
EDUCATION AND URBAN SOCIETY,4,\
Education as Change,4,\
Education Citizenship and Social Justice,4,\
Education et Francophonie,4,\
Education Finance and Policy,3,\
Education for Chemical Engineers,3,\
Education for Health,4,\
EDUCATION FOR INFORMATION,4,\
Education for Primary Care,4,\
Education in the Knowledge Society,4,\
Education Inquiry,3,\
Education Policy Analysis Archives,4,\
Education Sciences,3,\
Educational Action Research,4,\
EDUCATIONAL ADMINISTRATION QUARTERLY,2,\
Educational and Developmental Psychologist,4,\
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,4,\
Educational Assessment Evaluation and Accountability,2,\
Educational Assessment,3,\
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,2,\
EDUCATIONAL FORUM,4,\
EDUCATIONAL GERONTOLOGY,4,\
EDUCATIONAL LEADERSHIP,4,\
Educational Management Administration & Leadership,3,\
Educational Measurement-Issues and Practice,4,\
Educational Media International,4,\
Educational Philosophy and Theory,4,\
EDUCATIONAL POLICY,3,\
EDUCATIONAL PSYCHOLOGIST,1,Yes
Educational Psychology in Practice,4,\
EDUCATIONAL PSYCHOLOGY REVIEW,1,Yes
Educational Psychology,2,\
Educational Research and Evaluation,3,\
Educational Research for Policy and Practice,4,\
Educational Research for Social Change,4,\
Educational Research Review,1,Yes
EDUCATIONAL RESEARCH,3,\
Educational Researcher,1,Yes
EDUCATIONAL REVIEW,2,\
Educational Studies in Mathematics,2,Yes
Educational Studies-AESA,3,\
EDUCATIONAL STUDIES,4,\
EDUCATIONAL TECHNOLOGY & SOCIETY,2,\
EDUCATIONAL THEORY,4,\
Eduweb-Revista de Tecnologia de Informacion y Comunicacion en Educacion,4,\
Eesti ja Soome-Ugri Keeleteaduse Ajakiri-Journal of Estonian and Finno-Ugric Linguistics,3,\
eFood,3,\
EFORT Open Reviews,2,\
EFSA Journal,4,\
EGA-Revista de Expresion Grafica Arquitectonica,4,\
EGE ACADEMIC REVIEW,4,\
EGE-Revista de Expresion Grafica en la Edificacion,4,\
Egitim ve Bilim-Education and Science,4,\
Egyptian Heart Journal,4,\
Egyptian Informatics Journal,2,\
Egyptian Journal of Agronomy,4,\
EGYPTIAN JOURNAL OF ANAESTHESIA,4,\
Egyptian Journal of Aquatic Research,3,\
Egyptian Journal of Archaeological and Restoration Studies,4,\
Egyptian Journal of Biological Pest Control,3,\
Egyptian Journal of Botany,4,\
Egyptian Journal of Bronchology,4,\
EGYPTIAN JOURNAL OF CHEMISTRY,4,\
Egyptian Journal of Chest Diseases and Tuberculosis,4,\
Egyptian Journal of Critical Care Medicine,4,\
Egyptian Journal of Dermatology and Venereology,4,\
Egyptian Journal of Forensic Sciences,4,\
Egyptian Journal of Haematology,4,\
Egyptian Journal of Internal Medicine,4,\
Egyptian Journal of Medical Human Genetics,4,\
Egyptian Journal of Neurology Psychiatry and Neurosurgery,4,\
Egyptian Journal of Neurosurgery,4,\
Egyptian Journal of Otolaryngology,4,\
Egyptian Journal of Pediatric Allergy and Immunology,4,\
Egyptian Journal of Radiology and Nuclear Medicine,4,\
Egyptian Journal of Remote Sensing and Space Sciences,3,\
EGYPTIAN JOURNAL OF SOIL SCIENCE,4,\
Egyptian Journal of Surgery,4,\
EGYPTIAN JOURNAL OF VETERINARY SCIENCE,4,\
Egyptian Liver Journal,4,\
Egyptian Pediatric Association Gazette,4,\
Egyptian Pharmaceutical Journal,4,\
Egyptian Rheumatologist,4,\
Egyptian Rheumatology and Rehabilitation,4,\
Eidola-International Journal of Classical Art History,3,\
Eighteenth-Century Fiction,2,\
EIGHTEENTH-CENTURY LIFE,4,\
Eighteenth-Century Music,3,\
EIGHTEENTH-CENTURY STUDIES,3,\
Eikasia-Revista de Filosofia,4,\
Eikasmos-Quaderni Bolognesi di Filologia Classica,4,\
Eikon Imago,2,\
Einstein-Sao Paulo,4,\
EIRE-IRELAND,4,\
Eirene-Studia Graeca et Latina,4,\
Eixo e a Roda-Revista de Literatura Brasileira,4,\
EJNMMI Physics,2,\
EJNMMI Radiopharmacy and Chemistry,3,\
EJNMMI Research,3,\
EJournal of Tax Research,4,\
EJSO,2,\
EJVES Vascular Forum,4,\
Ekonomia i Prawo-Economics and Law,4,\
Ekonomia i Srodowisko-Economics and Environment,4,\
Ekonomicheskaya politika,4,\
EKONOMICKY CASOPIS,4,\
Ekonomika i Matematiceskie Metody-Economics and Mathematical Methods,4,\
Ekonomika Poljoprivreda-Economics of Agriculture,4,\
Ekonomista,4,\
Ekonomska Misao i Praksa-Economic Thought and Practice,4,\
Ekonomski Pregled,4,\
Ekonomski Vjesnik,4,\
Ekphrasis-Images Cinema Theory Media,3,\
Eksperimentalnaya Psikhologiya,4,\
Eksploatacja i Niezawodnosc-Maintenance and Reliability,3,\
Eksplorium-Buletin Pusat Teknologi Bahan Galian Nuklir,4,\
Elastomers and Composites,4,\
Election Law Journal,3,\
ELECTORAL STUDIES,2,\
ELECTRIC POWER COMPONENTS AND SYSTEMS,4,\
ELECTRIC POWER SYSTEMS RESEARCH,3,\
Electrica,4,\
Electrical Control and Communication Engineering,4,\
Electrical Engineering & Electromechanics,4,\
ELECTRICAL ENGINEERING IN JAPAN,4,\
ELECTRICAL ENGINEERING,4,\
ELECTROANALYSIS,4,\
Electrocatalysis,4,\
Electrochemical Energy Reviews,1,Yes
Electrochemical Science Advances,4,\
Electrochemical Society Interface,4,\
ELECTROCHEMISTRY COMMUNICATIONS,3,\
ELECTROCHEMISTRY,4,\
ELECTROCHIMICA ACTA,2,\
ELECTROMAGNETIC BIOLOGY AND MEDICINE,4,\
ELECTROMAGNETICS,4,\
Electronic Commerce Research and Applications,3,\
Electronic Commerce Research,4,\
ELECTRONIC COMMUNICATIONS IN PROBABILITY,4,\
Electronic Journal of Applied Statistical Analysis,4,\
ELECTRONIC JOURNAL OF BIOTECHNOLOGY,4,\
ELECTRONIC JOURNAL OF COMBINATORICS,3,\
Electronic Journal of Differential Equations,4,\
Electronic Journal of e-Learning,4,\
Electronic Journal of General Medicine,4,\
Electronic Journal of Graph Theory and Applications,4,\
Electronic Journal of Information Systems in Developing Countries,4,\
Electronic Journal of Linear Algebra,4,\
ELECTRONIC JOURNAL OF PROBABILITY,2,\
Electronic Journal of Qualitative Theory of Differential Equations,4,\
Electronic Journal of Research in Educational Psychology,4,\
Electronic Journal of Statistics,4,\
Electronic Journal of Structural Engineering,4,\
ELECTRONIC LIBRARY,4,\
Electronic Markets,3,\
Electronic Materials Letters,4,\
Electronic News,4,\
Electronic Research Archive,4,\
Electronic Structure,3,\
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,4,\
Electronics and Communications in Japan,4,\
ELECTRONICS LETTERS,4,\
Electronics,4,\
ELECTROPHORESIS,3,\
Elektronika Ir Elektrotechnika,4,\
Elektrotechnik und Informationstechnik,4,\
Elektrotehniski Vestnik,4,\
Elementa-Science of the Anthropocene,3,\
ELEMENTARY SCHOOL JOURNAL,4,\
Elemente der Mathematik,4,\
Elements,4,\
Eleuthera,4,\
ELH,3,\
ELIA-Estudios de Linguistica Inglesa Aplicada,4,\
eLife,1,Yes
eLight,1,Yes
Elos-Revista de Literatura Infantil e Xuvenil,4,\
ELT Journal,2,\
Em Questao,4,\
Emakeele Seltsi Aastaraamat-The Yearbook of the Estonian Mother Tongue Society,4,\
EMBO JOURNAL,1,Yes
EMBO Molecular Medicine,1,Yes
EMBO REPORTS,1,Yes
Emergencias,2,\
Emergency Care Journal,4,\
Emergency Medicine Australasia,4,\
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,4,\
Emergency Medicine International,4,\
EMERGENCY MEDICINE JOURNAL,3,\
Emergency Radiology,4,\
Emergent Materials,4,\
Emerging Adulthood,3,\
Emerging Contaminants,2,\
EMERGING INFECTIOUS DISEASES,2,Yes
EMERGING MARKETS FINANCE AND TRADE,3,\
Emerging Markets Review,2,Yes
Emerging Materials Research,4,\
Emerging Microbes & Infections,1,Yes
Emerging Themes in Epidemiology,3,\
Emerging Topics in Life Sciences,3,\
Emerita,3,\
Emily Dickinson Journal,3,\
Eminak,4,\
Emirates Journal of Food and Agriculture,4,\
Emission Control Science and Technology,4,\
EMITTER-International Journal of Engineering Technology,4,\
Emotion Review,3,\
Emotion Space and Society,2,\
EMOTION,2,Yes
EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,4,\
Emotions and Society,3,\
Emotions-History Culture Society,3,\
Empedocles-European Journal for the Philosophy of Communication,4,\
Empiria,4,\
Empirica,3,\
Empirical Economics,4,\
Empirical Musicology Review,2,Yes
Empirical Research in Vocational Education and Training,3,\
EMPIRICAL SOFTWARE ENGINEERING,2,\
Empirical Studies of the Arts,3,\
EMPLOYEE RELATIONS,4,\
Employee Responsibilities and Rights Journal,4,\
EMS Surveys in Mathematical Sciences,3,\
Emu-Austral Ornithology,4,\
En Blanco-Revista de Arquitectura,4,\
ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,4,\
Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao,4,\
Encounters in Theory and History of Education,4,\
Encrucijada Americana,4,\
Encrucijadas-Revista Critica de Ciencias Sociales,4,\
Encuentro-Revista de Investigacion e Innovacion en la Clase de Idiomas,4,\
Endangered Species Research,3,\
ENDEAVOUR,4,\
Endocrine Connections,3,\
ENDOCRINE JOURNAL,4,\
Endocrine Metabolic & Immune Disorders-Drug Targets,4,\
ENDOCRINE PATHOLOGY,1,Yes
Endocrine Practice,3,\
ENDOCRINE RESEARCH,4,\
ENDOCRINE REVIEWS,1,Yes
ENDOCRINE-RELATED CANCER,2,\
ENDOCRINE,3,\
Endocrinologia Diabetes y Nutricion,4,\
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,2,\
Endocrinology and Metabolism,2,\
